make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,lnprice
alfa-romero,gas,std,two,convertible,rwd,front,-1.690771802,-0.426521468,-0.844782352,-2.020417304,-0.014566282,dohc,cuatro-o-menos,0.090344765,mpfi,0.492718371,-1.8446564,-0.28834891,0.179306303,-0.270357061,-0.646553028,-0.546058737,0.343992324
alfa-romero,gas,std,two,convertible,rwd,front,-1.690771802,-0.426521468,-0.844782352,-2.020417304,-0.014566282,dohc,cuatro-o-menos,0.090344765,mpfi,0.492718371,-1.8446564,-0.28834891,0.179306303,-0.270357061,-0.646553028,-0.546058737,0.741219204
alfa-romero,gas,std,two,hatchback,rwd,front,-0.708595876,-0.231513047,-0.190566121,-0.543527476,0.514881916,ohcv,cinco-seis,0.646977126,mpfi,-2.399479532,0.67552332,-0.28834891,1.265619063,-0.270357061,-0.953011688,-0.691627061,0.741219204
audi,gas,std,four,sedan,fwd,front,0.173697752,0.207255902,0.136541994,0.235942156,-0.420797445,ohc,cuatro-o-menos,-0.440986126,mpfi,-0.53236443,0.452216256,-0.035972825,-0.048061483,0.777340434,-0.186865037,-0.109353765,0.409511986
audi,gas,std,four,sedan,4wd,front,0.107109553,0.207255902,0.230001455,0.235942156,0.516807182,ohc,cinco-seis,0.24215359,mpfi,-0.53236443,0.452216256,-0.540724994,0.280358653,0.777340434,-1.106241019,-1.273900356,0.851825771
audi,gas,std,two,sedan,fwd,front,0.173697752,0.264133358,0.183271724,-0.256354454,-0.093502195,ohc,cinco-seis,0.24215359,mpfi,-0.53236443,0.452216256,-0.414536952,0.154043216,0.777340434,-0.953011688,-0.837195385,0.585560102
audi,gas,std,four,sedan,fwd,front,1.172520727,1.515437396,2.566487992,0.8102882,0.555312506,ohc,cinco-seis,0.24215359,mpfi,-0.53236443,0.452216256,-0.414536952,0.154043216,0.777340434,-0.953011688,-0.837195385,0.881048186
audi,gas,std,four,wagon,fwd,front,1.172520727,1.515437396,2.566487992,0.8102882,0.767091785,ohc,cinco-seis,0.24215359,mpfi,-0.53236443,0.452216256,-0.414536952,0.154043216,0.777340434,-0.953011688,-0.837195385,1.011632253
audi,gas,turbo,four,sedan,fwd,front,1.172520727,1.515437396,2.566487992,0.892337635,1.02122692,ohc,cinco-seis,0.115646236,mpfi,-0.75202503,0.452216256,-0.465012169,0.911935839,0.777340434,-1.259470349,-1.565037004,1.471239026
audi,gas,turbo,two,hatchback,4wd,front,0.123756603,0.337261516,0.930947416,-0.707626346,0.957693137,ohc,cinco-seis,0.115646236,mpfi,-0.75202503,0.452216256,-0.793101079,1.417197588,0.777340434,-1.412699679,-1.273900356,-1.403774728
bmw,gas,std,two,sedan,rwd,front,0.406756446,0.223506603,-0.517674237,0.235942156,-0.309132007,ohc,cuatro-o-menos,-0.466287597,mpfi,0.602548671,-1.461844291,-0.338824127,-0.073324571,1.405958931,-0.340094367,-0.254922089,0.732818983
bmw,gas,std,four,sedan,rwd,front,0.406756446,0.223506603,-0.517674237,0.235942156,-0.309132007,ohc,cuatro-o-menos,-0.466287597,mpfi,0.602548671,-1.461844291,-0.338824127,-0.073324571,1.405958931,-0.340094367,-0.254922089,0.791467879
bmw,gas,std,two,sedan,rwd,front,0.406756446,0.223506603,-0.517674237,0.235942156,0.297326838,ohc,cinco-seis,0.950594777,mpfi,-0.09304323,-0.217704935,-0.28834891,0.431937178,-1.841903303,-0.646553028,-0.400490413,1.2148943
bmw,gas,std,four,sedan,rwd,front,0.406756446,0.223506603,-0.517674237,0.235942156,0.403216478,ohc,cinco-seis,0.950594777,mpfi,-0.09304323,-0.217704935,-0.28834891,0.431937178,-1.841903303,-0.646553028,-0.400490413,1.227573587
bmw,gas,std,four,sedan,rwd,front,0.789638586,1.214799413,0.463650109,0.8102882,0.961543669,ohc,cinco-seis,0.950594777,mpfi,-0.09304323,-0.217704935,-0.28834891,0.431937178,-1.841903303,-0.799782358,-0.837195385,1.527532498
bmw,gas,std,four,sedan,rwd,front,0.789638586,1.214799413,0.463650109,0.8102882,1.29846525,ohc,cinco-seis,2.089160971,mpfi,1.041869871,0.420315247,-0.540724994,1.972985511,0.567800935,-1.412699679,-1.273900356,1.971886028
bmw,gas,std,two,sedan,rwd,front,0.789638586,1.604816256,0.930947416,-0.010206149,1.587255176,ohc,cinco-seis,2.089160971,mpfi,1.041869871,0.420315247,-0.540724994,1.972985511,0.567800935,-1.412699679,-1.273900356,2.554782135
bmw,gas,std,four,sedan,rwd,front,1.871696809,1.864827485,2.332839338,1.056436505,1.827913448,ohc,cinco-seis,2.089160971,mpfi,1.041869871,0.420315247,-0.540724994,1.972985511,0.567800935,-1.565929009,-1.565037004,2.330412194
chevrolet,gas,std,two,hatchback,fwd,front,-1.724065901,-2.677243667,-2.62051212,-0.215329736,-2.055348428,l,cuatro-o-menos,-1.655456732,2bbl,-1.557447231,-0.728121081,-0.162160868,-1.412268205,-0.060817562,3.337409559,3.238717684,-1.559003702
chevrolet,gas,std,two,hatchback,fwd,front,-0.708595876,-1.474691734,-1.078431005,-0.707626346,-1.312195684,ohc,cuatro-o-menos,-0.921714074,2bbl,-1.118126031,-0.472913008,-0.136923259,-0.856480281,0.567800935,1.958345587,1.783034445,-1.162717993
